Alsatian	POS	French	German	BabelNetId	Cosine
Wättbewarb [ACPA]	N	concurrence;concours	Wettbewerb	bn:03241414n	0.82
Kreditkàrta [ACPA] ; Kreditkàrt [ACPA]	N	carte de crédit	Kreditkarten;Kreditkarte	bn:00017800n	1.00
Hãndwërk [WKT] ; Hàndwark [ACPA]	N	métier;métiers	Handwerk;Handwerker	bn:00023499n	0.71
Schàda [ACPA] ; schàde [ACPA]	N	dommage	Schaden	bn:00025084n	1.00
Butterfàss [OLCA67;OLCA68]	N	baratte	Butterfass	bn:00014255n	1.00
März [ACPA;OLCA67;OLCA68;WKT]	N	mars	Mars;März	bn:00053536n	0.82
Doppelt [ACPA] ; Dobbelt [ACPA]	N	double	Doppelte	bn:00337386n	1.00
Schilddries [OLCA67;OLCA68] ; Schelddriasa [ACPA]	N	glande thyroïde;thyroïde	Schilddrüse	bn:00077142n	1.00
Hufise [ACPA] ; Hufisa [ACPA]	N	fer à cheval	Hufeisen	bn:00044868n	1.00
Zehnta [ACPA] ; Zehnte [ACPA]	N	dîme	Zehnten;Zehnte;Zehnt	bn:03539587n	1.00
Inweiche [OLCA67;OLCA68]	N	trempage;trempe	Einweichen	bn:00154051n	0.82
Nätz [ACPA]	N	filet;réseau	Netz	bn:00054497n	0.87
Elefànte [WKT] ; Elefànt [ACPA;WKT]	N	éléphants;éléphant	Elefant;Elefanten;Elephanten	bn:00030314n	1.00
Kessa [ACPA] ; Kisse [ACPA]	N	coussin	Kissen	bn:00024566n	1.00
Erfreerung [ACPA] ; Ärfriarung [ACPA]	N	gelure	Erfrierungen;Erfrierung	bn:00024172n	0.77
Barg [OLCA68]	N	montagne	Berge;Berg	bn:00056068n	0.87
Fiir [WKT] ; Fihr [ACPA]	N	feu	Feuer;Fire!!;Fire	bn:03735132n	0.87
Wànderer [ACPA]	N	itinérant;nomade	Wander-	bn:00057876n	0.82
Hàmmer [ACPA;OLCA67;OLCA68;WKT]	N	marteau	Hämmer;Hammer	bn:00042730n	1.00
Ràsiaràpparàt [ACPA] ; Rasieràppàràt [OLCA68]	N	rasoir	Rasierapparat	bn:00066322n	1.00
Summa [ACPA]	N	montant;somme	Somme;Summe	bn:00003601n	0.75
horich [ACPA] ; horch [ACPA]	N	écoute	Hören	bn:00043373n	1.00
Karla [ACPA]	N	type;mec	Kerl	bn:00011241n	0.67
Fodell [WKT] ; Fodel [ACPA]	N	fauteuil	Fauteuil	bn:00033827n	1.00
Blüetwùrscht [OLCA67;OLCA68] ; Blüatwurscht [ACPA]	N	boudin	Blutwurst	bn:00010966n	1.00
Söifer [ACPA] ; Süffer [ACPA]	N	ivrogne;alcoolique	Säufer	bn:00002526n	0.67
Leitàrtickel [ACPA] ; Laitàrtekel [ACPA]	N	éditorial	Leitartikel	bn:00020825n	0.82
Loch [ACPA;OLCA67;OLCA68]	N	taule;trou	Loch	bn:00044407n	0.82
schtüdiere [ACPA] ; schtudiara [ACPA]	V	étudier	studieren	bn:00094501v	1.00
Gfangnisswachter [ACPA]	N	gardien de prison;maton	Gefängniswärter	bn:02395113n	1.00
lohnend [ACPA]	A	lucratif;rentable	lohnend	bn:00106252a	0.65
Eiwiss [ACPA] ; Aiwiss [ACPA]	N	albumine	Eiweiß	bn:00002491n	0.82
schnell [WKT] ; schnall [WKT]	ADV	rapide	schnell	bn:00116719r	1.00
Hoorschnett [ACPA] ; Hoorschnit [ACPA]	N	coupe de cheveux	Haarschnitt	bn:00020483n	0.82
Kopfgaldjager [ACPA] ; Kopfgeldjajer [ACPA]	N	chasseur de primes	Kopfgeldjäger	bn:00012430n	1.00
klaane Hirn [ACPA] ; klaina Hern [ACPA]	N	cervelet	Kleinhirn	bn:00017330n	1.00
Lulli [ACPA;WKT]	N	sucette;tétine	Lolly	bn:00002794n	0.67
Sintfluht [ACPA] ; Sentfluht [ACPA]	N	déluge	Sintflut	bn:03431454n	1.00
Àff [ACPA]	N	singe	Affen;Affe	bn:00055685n	1.00
Fundamant [ACPA]	N	fondation;soubassement	Fundament	bn:00008782n	0.71
And [ACPA;OLCA68] ; End [OLCA67]	N	fin	Ende	bn:00030719n	1.00
Schàrniar [ACPA] ; Schàrnier [ACPA]	N	charnière	Scharnier	bn:00035192n	1.00
Lààger [ACPA] ; Laawer [ACPA]	N	camp	Lager	bn:00015037n	1.00
schtahl [ACPA] ; Schtàhl [ACPA]	N	acier	Stahl;Stählen	bn:00074123n	1.00
wàrta [ACPA] ; wàrte [WKT]	V	attendre	warten	bn:00089401v	1.00
Kendergàrta [ACPA]	N	école maternelle;maternelle	Kindergarten;Kindergärten	bn:00049129n	1.00
Ungnàda [ACPA] ; Ungnàd [ACPA]	N	disgrâce	Ungnade	bn:00027561n	1.00
Erdgàs [ACPA] ; Ardgàs [ACPA]	N	gaz naturel	Erdgas	bn:00037385n	1.00
trãga [WKT] ; tràga [ACPA]	V	porter	tragen	bn:00089252v	1.00
Gfühl [ACPA]	N	sentiment;impression	Gefühl	bn:00033963n	0.82
Üramàcheräi [ACPA] ; Ühramàcher [ACPA]	N	horloger;horlogerie	Uhrmacherei;Uhrmacher	bn:00044809n	1.00
Mettelpunkt [ACPA]	N	centre;milieu	Mittelpunkt	bn:00017123n	0.87
Schulda [ACPA] ; Schuld [ACPA]	N	passif;dette	Schuld;Schulden	bn:00025638n	0.87
Unfàll [ACPA] ; Ùnfàll [OLCA67;OLCA68]	N	accident	Unfälle;Unfall	bn:00000690n	1.00
Schuss [OLCA67;OLCA68] ; Schiassa [ACPA]	N	tir	Schießen;Schuss	bn:02216996n	0.82
Schmeda [ACPA] ; Schmide [ACPA]	N	forge	Schmieden;Schmied;Schmiede	bn:00011046n	0.75
Betràg [ACPA]	N	montant;somme	Betrag	bn:00003601n	0.87
Behàuiptung [ACPA] ; behöiptung [ACPA]	N	affirmation	Behauptung	bn:00006496n	0.71
Gràwe [OLCA67;OLCA68] ; Gràwa [ACPA]	N	tranchée	Gräben;Graben	bn:00078163n	1.00
Schprangschtoff [ACPA] ; Schprängschtoff [ACPA]	N	explosif	Sprengstoff;Sprengstoffe	bn:00044065n	1.00
Leischnàhm [ACPA] ; Laichnàhm [ACPA]	N	dépouille	Leichnam	bn:00011746n	0.63
Schof [OLCA67;OLCA68] ; Schoof [ACPA;OLCA67;OLCA68]	N	mouton	Schaf;Schafe	bn:00070967n	0.87
Lorbeer [OLCA67] ; Lorbeera [OLCA68]	N	laurier	Lorbeer	bn:00052765n	0.82
schliasa [ACPA] ; schliessa [WKT]	V	fermer	schloss;schließen	bn:00085162v	0.87
Kälta [ACPA] ; Kälte [ACPA;OLCA67;OLCA68]	N	froid	Kälte	bn:00018387n	1.00
Reserv [OLCA67] ; Resarwa [ACPA]	N	réserve	Reserve	bn:03208510n	1.00
Füessgänger [OLCA67;OLCA68] ; Füassganger [ACPA]	N	piéton	Fussgänger;Fußgänger	bn:00035725n	1.00
Meschgetrank [ACPA] ; Mischgedränk [ACPA]	N	cocktail	Mischgetränk	bn:00020306n	1.00
Gwerz [ACPA] ; Gewürz [ACPA]	N	épice	Gewürz	bn:00073330n	1.00
Ewerainsschtemmung [ACPA] ; Iwereinsschtimmung [ACPA]	N	concordance	Übereinstimmung	bn:02298372n	1.00
Teschdäcka [ACPA] ; Dischdeck [OLCA67]	N	nappe	Tischdecke	bn:00075826n	0.82
Füatter [ACPA] ; Föter [ACPA]	N	fourrage	Futter	bn:00606542n	1.00
Àpril [OLCA67;WKT]	N	avril	April	bn:00005169n	1.00
Rübarb [ACPA;OLCA67;OLCA68]	N	rhubarbe	Rhabarber	bn:00062321n	1.00
Brad [WKT] ; Bratt [ACPA]	N	planche	Brett	bn:00011639n	1.00
Schwafelsira [ACPA] ; Schwafelsiire [OLCA67;OLCA68]	N	vitriol;acide sulfurique	Schwefelsaeure;Schwefelsäure	bn:00058753n	1.00
fàscht [ACPA]	ADV	quasi;presque	fast	bn:00114079r	1.00
Glàuiwa [ACPA] ; Gloiwe [ACPA]	N	foi	Gläubig;Glauben;Glaube	bn:00032768n	0.67
Puff [ACPA] ; Buff [ACPA]	N	bordel;maison close	Puff	bn:00007951n	0.71
mohla [ACPA] ; mola [WKT]	V	peindre	malen	bn:00091389v	1.00
Pàrecka [ACPA] ; Pàrrucka [WKT]	N	perruque	Perücke;Perücken;Peruke	bn:00061643n	0.87
Comite [OLCA67;OLCA68] ; Komité [OLCA67;OLCA68]	N	comité	Komitee	bn:00021015n	0.71
Vergreeserungsglàs [WKT] ; Vergreserungsglàs [ACPA]	N	loupe	Vergrößerungsglas	bn:00042780n	0.82
Flaisch [ACPA] ; Fleisch [ACPA]	N	chair	Fleisch	bn:00035182n	1.00
better [ACPA] ; bitter [OLCA67;OLCA68]	A	amer	bitter	bn:00098464a	1.00
Bisszàng [OLCA67;OLCA68] ; Bisszànga [ACPA]	N	pince;tenaille	Beißzange	bn:00060208n	0.67
Schandung [ACPA]	N	sacrilège;profanation	Schändung	bn:00011134n	1.00
beobàchta [ACPA] ; beobàchte [OLCA68]	V	observer	beobachten	bn:00091096v	0.71
Opfer [ACPA]	N	victime;sacrifice	Opfer	bn:00067941n	1.00
Folge [ACPA] ; Folga [ACPA]	N	conséquence	Folge	bn:00031226n	0.50
Àbtriwùng [OLCA67;OLCA68] ; Àbtriwung [ACPA]	N	avortement	Abtreibung;Abtreibungen	bn:00000372n	0.87
Zoll [ACPA;WKT]	N	douane	Zölle;Zoll	bn:00024593n	0.77
Wàldschnapfa [ACPA;OLCA68] ; Wàldschnàpfe [OLCA67]	N	bécasse	Waldschnepfen;Waldschnepfe	bn:00081511n	1.00
Chrischt [ACPA] ; Krescht [ACPA]	N	chrétien	Christen;Christ	bn:00018818n	1.00
vertriwa [ACPA]	V	dissiper;chasser	vertreiben	bn:00084834v	1.00
Sübschtànz [ACPA]	N	substance;essence	Substanz	bn:00017124n	1.00
Schtroosa-n-äcka [ACPA] ; Schtrose-n-eck [ACPA]	N	coin de la rue	Straßenecke	bn:00022736n	0.71
Schiefer [ACPA] ; Scheefer [ACPA]	N	ardoise	Schiefer	bn:00732826n	1.00
Wàckstum [ACPA] ; Wàckstumm [ACPA]	N	croissance;développement	Wachstum	bn:00041978n	0.82
Proschpakt [ACPA]	N	prospectus;dépliant	Prospekt	bn:00023292n	0.82
Kàsseroll [WKT] ; Kàssroll [ACPA]	N	casserole	Casserolle;Kasserolle	bn:04521048n	1.00
b'süeche [WKT] ; b'süecha [WKT]	V	visiter	besuchen	bn:00093433v	1.00
verräcka [ACPA]	V	clamser;crever	verrecken	bn:00084343v	0.52
Wãsserhãnna [WKT] ; Wàsserhàhne [WKT]	N	robinet	Wasserhan;Wasserhahn	bn:00045342n	0.82
Warikbànk [ACPA] ; Warkbànk [ACPA]	N	établi	Werkbank	bn:00009853n	0.71
Fisch [OLCA67;OLCA68;WKT] ; Fesch [ACPA]	N	poisson	Fische;Fish;Fisch	bn:00034816n	0.87
Flughàfa [ACPA] ; Flugghàffe [ACPA]	N	aérodrome;aéroport	Flughafen	bn:00001676n	0.87
Monsun [ACPA;OLCA67;OLCA68]	N	mousson	Monsun	bn:00055772n	1.00
unsecher [ACPA] ; ùnsicher [OLCA67;OLCA68]	A	incertain	unsicher	bn:00104809a	1.00
Zinn [ACPA] ; Zenn [ACPA]	N	étain	Zinn	bn:00006881n	1.00
Müatter [ACPA]	N	mère;maman	Mutter;Mütter	bn:00034027n	0.61
Änziàn [ACPA] ; Enziàn [OLCA67;OLCA68]	N	gentiane	Enzian	bn:00037749n	1.00
Isa [ACPA] ; Ise [ACPA]	N	fer	Eisen	bn:00006856n	1.00
Bormàschin [ACPA] ; Bohrmàschena [ACPA]	N	foreuse	Bohrmaschine	bn:00028741n	0.82
Krisa [ACPA] ; Krise [ACPA]	N	crise	Krise	bn:00023844n	1.00
Innbruch [ACPA] ; Inbruch [ACPA]	N	effraction;cambriolage	Einbruch	bn:00012912n	1.00
Fingeràbdruck [ACPA] ; Fengeràbdruck [ACPA]	N	empreinte digitale	Fingerabdruck	bn:00034589n	1.00
persenlig [OLCA67;OLCA68] ; Pärsonàl [ACPA]	N	personnel	Persönlich;Personal	bn:00061744n	0.82
Schimpfwerter [ACPA] ; Schempfwärter [ACPA]	N	gros mots	Schimpfwörter	bn:00064605n	0.63
Trinkwàsser [ACPA;OLCA67;OLCA68] ; Trenkwàsser [ACPA]	N	eau potable	Trinkwasser	bn:00028760n	0.63
Kànon [ACPA;WKT] ; Kànona [ACPA]	N	canon	Kanonen;Kanone;Kanon;Canon	bn:00015306n	0.77
Kàssiarer [ACPA]	N	caissier	Kassierer;Kassier	bn:00008379n	0.87
Ràuibvogel [ACPA]	N	oiseau de proie;rapace	Raubvögel;Raubvogel	bn:00010639n	1.00
Miller [WKT] ; Meller [ACPA]	N	meunier	Müller	bn:00055035n	1.00
Geball [ACPA] ; Gebäll [ACPA]	N	aboiement	Gebelle;Gebell	bn:00008597n	0.71
Pfifferleng [ACPA] ; Pfifferling [OLCA67;OLCA68]	N	chanterelle	Pfefferling;Pfifferling;Pfifferlinge	bn:00015355n	1.00
Bàrgald [ACPA]	N	argent liquide;liquide	Bargeld	bn:00016448n	1.00
klãga [WKT] ; Klàg [ACPA]	N	plainte	Klage	bn:00021348n	0.71
Volkswertschàft [ACPA] ; Volkswirtschàft [ACPA]	N	économie nationale	Volkswirtschaft;Volkswirtschaften	bn:00029678n	0.87
klar [WKT] ; klàr [ACPA;OLCA67;OLCA68]	A	clair	klar	bn:00099802a	1.00
Effnung [OLCA67;OLCA68] ; Äffnung [ACPA]	N	ouverture	Öffnungen;Öffnung	bn:00004857n	0.82
danka [ACPA] ; danke [OLCA67;OLCA68]	V	penser	denken	bn:00084733v	0.82
Vortràj [ACPA] ; Vortràg [ACPA]	N	conférence	Vorträge;Vortrag	bn:00050488n	1.00
Melisse [OLCA67] ; Melissa [OLCA68]	N	mélisse	Melissen;Melissa;Melisse	bn:00038663n	0.87
Nàwelschnüar [ACPA] ; Nàwelschnüer [OLCA67;OLCA68]	N	cordon ombilical	Nabelschnur	bn:00078915n	1.00
Gàspedal [ACPA] ; Gàspedall [ACPA]	N	champignon;accélérateur	Gaspedal	bn:00000632n	1.00
Rajemesser [OLCA67] ; Rajemasser [OLCA68]	N	pluviomètre	Regenmesser	bn:00063124n	0.82
Lobreed [ACPA]	N	panégyrique;éloge	Lobreden;Lobrede	bn:00030698n	0.76
Hebàm [ACPA] ; Hewàmm [ACPA;OLCA67;OLCA68]	N	accoucheur;sage-femme	Hebamme	bn:00000737n	0.82
àbziaga [ACPA] ; àbzeije [ACPA]	V	déduire	abziehen	bn:00086432v	1.00
Unterfiarung [ACPA]	N	souterrain;passage souterrain	Unterführung	bn:00075016n	1.00
Rabschar [OLCA67;OLCA68] ; Raabschara [ACPA]	N	sécateur	Rebschere	bn:00064950n	1.00
Klàppe [ACPA] ; Klàppa [ACPA]	N	clapet	Klappen	bn:00035039n	1.00
Wissdorn [ACPA;OLCA67;OLCA68]	N	aubépine	Weißdorn;Weißdorne;Weissdorn	bn:00023585n	1.00
Kopfherer [ACPA] ; Kopfhehrer [ACPA]	N	écouteur;casque	Kopfhörer	bn:00029419n	0.87
bschleese [ACPA] ; bschliasa [ACPA]	V	décider	beschließen	bn:00086370v	0.82
Chrischtetum [ACPA] ; Kreschtatum [ACPA]	N	christianisme	Christentum	bn:00018828n	1.00
Butter [ACPA;WKT] ; Bùtter [OLCA67;OLCA68]	N	beurre	Buttrig;Butter	bn:00014302n	0.82
Scheid [OLCA68] ; Schaida [ACPA]	N	vagin	Scheide	bn:00079460n	0.82
Mahl [ACPA;OLCA67;OLCA68] ; Mehla [ACPA]	N	farine;minoterie	Mühle;Mehl	bn:00041829n	0.71
Schtàrrkràmpf [ACPA] ; Stàrrkràmpf [OLCA67;OLCA68]	N	tétanos	Starrkrampf	bn:00051787n	1.00
mannlig [ACPA]	A	masculin;mâle	männlich	bn:00106354a	1.00
Hàndel [ACPA]	N	négoce;commerce	Handel	bn:00077860n	0.87
Fàssbinder [OLCA67;OLCA68] ; Fàssbender [ACPA]	N	tonnelier	Fassbinderei	bn:00008698n	0.63
Schäpfläffel [ACPA] ; Schepfleffel [OLCA67;OLCA68;WKT]	N	louche	Schöpflöffel	bn:00049663n	0.82
Engwer [ACPA] ; Ingwer [ACPA]	N	gingembre	Ingwer	bn:00040495n	1.00
Grundiarung [ACPA] ; Grundeerung [ACPA]	N	apprêt	Grundierung	bn:00035091n	1.00
Hufte [WKT] ; Hufta [ACPA]	N	hanches;hanche	Hüften;Hüfte	bn:00006138n	1.00
Wäschta [ACPA] ; Weschte [OLCA67;OLCA68;WKT]	N	ouest	West;Westen	bn:03443906n	1.00
Meeranga [ACPA] ; Meerange [ACPA]	N	détroit	Meerenge	bn:00072895n	0.82
Unterschreft [ACPA]	N	paraphe;signature	Unterschriften;Unterschrift	bn:00071547n	1.00
Fàrbschtoff [ACPA]	N	colorant;teinture	Farbstoff;Farbstoffe	bn:00029280n	0.89
Behàndlùng [OLCA67;OLCA68] ; Behàndlung [ACPA]	N	traitement	Behandlung	bn:00047235n	1.00
Kwatschung [ACPA] ; Kwätschung [ACPA]	N	contusion	Quetschung	bn:00013464n	0.82
Tànna [ACPA] ; Tãnna [WKT]	N	sapin	Tanne;Tannen	bn:00034620n	1.00
wisse [OLCA67;OLCA68;WKT] ; wëssa [WKT]	V	savoir	wissen	bn:00085261v	1.00
Sehne [OLCA67;OLCA68] ; Sähna [ACPA]	N	tendons;tendon	Sehnen;Sehne	bn:00071726n	1.00
Àbsecht [ACPA]	N	intention;but	Absicht	bn:02557050n	0.82
Wàrnung [ACPA]	N	avertissement	Warnung	bn:00001469n	1.00
Lähmung [ACPA] ; Lähmùng [OLCA67;OLCA68]	N	paralysie	Lähmung	bn:00060326n	1.00
schwerig [ACPA]	A	dur;difficile	schwer;schwierig	bn:00101358a	0.89
Dräikenig [ACPA] ; Dräi Keniga [ACPA]	N	fête des rois;épiphanie	Dreikönig	bn:00031204n	1.00
Ämpfendung [ACPA] ; Empfindung [OLCA67;OLCA68]	N	sensation	Empfindung	bn:00001714n	0.50
Schuld [ACPA] ; Schuldig [ACPA]	N	culpabilité;coupable	Schuld;Schuldig;Schuldige	bn:00042129n	0.89
Unkala [ACPA] ; Unkel [ACPA;WKT]	N	oncle;tonton	Onkel	bn:00078951n	0.77
Uffkläwer [ACPA] ; Uffklaiwer [ACPA]	N	autocollant	Aufkleber	bn:00042216n	1.00
Mischtkäfer [ACPA] ; Meschtkafer [ACPA]	N	bousier	Mistkäfer	bn:00029126n	1.00
Häktàr [ACPA] ; Hektàr [OLCA67;OLCA68]	N	hectare	Hektar;Hektare	bn:00043500n	1.00
Wéh [WKT]	N	mal;douleur	Weh	bn:00000859n	0.58
Doppelganger [ACPA]	N	double;sosie	Doppelgänger	bn:00028343n	0.87
Kerz [OLCA67;OLCA68] ; Kärza [ACPA]	N	bougie	Kerze;Kerzen	bn:00015211n	0.87
Diebstàhl [OLCA67;OLCA68] ; Diabschtàhl [ACPA]	N	vol	Diebstahl	bn:00148620n	0.71
Weriksàhmkeit [ACPA] ; Werksàmkait [ACPA]	N	efficacité	Wirksamkeit	bn:00029888n	1.00
Tàpeeta [ACPA] ; Tàppeta [ACPA]	N	tapisserie;papier-peint	Tapete	bn:00080413n	1.00
Viarzihlig [ACPA] ; Viarzihler [ACPA]	N	quatrain	Vierzeiler	bn:00065623n	1.00
Pànzer [ACPA]	N	char;tank	Panzer	bn:00005778n	0.77
Pfànn [ACPA] ; Pfànna [ACPA]	N	casserole	Pfanne	bn:00022422n	0.82
Schtrànd [ACPA] ; Strãnd [WKT]	N	rive;rivage	Strand	bn:00071235n	0.58
wàcksa [ACPA] ; wãchsa [WKT]	V	croître	wachsen	bn:00089083v	1.00
Iswerfel [OLCA67;OLCA68] ; Isswerfel [ACPA]	N	glaçon;glaçons	Eiswürfel	bn:00045723n	1.00
Läschpapir [ACPA] ; Läschpàpir [ACPA]	N	buvard;papier buvard	Löschpapier	bn:00011439n	1.00
Àbmàuijerung [ACPA] ; Àbmàgerung [ACPA]	N	amaigrissement	Abmagerung	bn:00012030n	0.82
Sàneerung [ACPA] ; Sàniarung [ACPA]	N	assainissement	Sanierung	bn:00066729n	0.71
Umgawung [ACPA] ; Umgebung [ACPA]	N	environnement	Umgebung	bn:01525799n	1.00
Schtrohm [ACPA] ; Strôhm [WKT]	N	électricité	Strom	bn:00030181n	1.00
gniasa [ACPA] ; geniesse [OLCA67;OLCA68]	V	jouir	genießen	bn:00083145v	0.82
umwaj [ACPA] ; Umwaag [ACPA]	N	détour	Umweg	bn:00026661n	1.00
Gfohr [ACPA]	N	risque;danger	Gefahren;Gefahr	bn:02695864n	0.87
Profit [ACPA]	N	profit;bénéfice	Profit	bn:00029415n	0.61
Zitter [ACPA] ; Zetter [ACPA]	N	cithare	Zitter	bn:00019280n	1.00
Hüatmàcher [ACPA]	N	modiste;chapelier	Hutmacherei;Hutmacher	bn:00043147n	1.00
Schtàmmzall [ACPA] ; Schtàmmzälla [ACPA]	N	cellule souche	Stammzellen;Stammzelle	bn:00074172n	1.00
Kokospàlm [ACPA] ; Kokospàlma [ACPA]	N	cocotier	Kokospalme;Kokospalmen	bn:00020320n	0.77
Knepf [WKT] ; Knopf [ACPA;WKT]	N	boutons;bouton	Knopf	bn:00014305n	1.00
Het [ACPA] ; hit [ACPA;WKT]	ADV	aujourd'hui	heute	bn:00116382r	0.82
Gsims [ACPA] ; Gsems [ACPA]	N	corniche	Gesims;Gesimse	bn:00022765n	1.00
Salbschtbehärschung [ACPA]	N	maîtrise de soi;sang-froid	Selbstbeherrschung	bn:00063734n	0.87
Grààs [ACPA] ; Gràs [OLCA67;OLCA68]	N	herbe	Gras;Gräser	bn:00041433n	1.00
Bruschtkàschta [ACPA]	N	cage thoracique;thorax	Brustkasten	bn:00018209n	0.82
Konzert [ACPA] ; Konzärt [ACPA]	N	concert	Konzert;Konzerte	bn:00021559n	1.00
Gschpenscht [ACPA] ; Gschpanscht [ACPA]	N	fantôme	Gespenst	bn:03419699n	1.00
verglicha [ACPA;WKT] ; verglische [ACPA]	V	comparer	vergleichen	bn:00085450v	1.00
Isszitt [ACPA]	N	période glaciaire;âge de glace	Eiszeiten;Eiszeit	bn:00040575n	0.82
Faschtassa [ACPA]	N	festin;banquet	Festessen	bn:00008434n	0.77
Beecher [WKT] ; Biecher [WKT]	N	livres	Bücher	bn:03228465n	0.71
Ràt [ACPA] ; Rot [ACPA]	N	conseil	Rat	bn:00023119n	1.00
Schtent [ACPA] ; Schtint [ACPA]	N	éperlan	Stinte	bn:00072305n	1.00
Schàubild [ACPA] ; Schàuibeld [ACPA]	N	graphique	Schaubild	bn:00017904n	0.82
Rogga [ACPA;OLCA68] ; Rogge [OLCA67;OLCA68]	N	seigle	Roggen	bn:00068664n	1.00
ungscheckt [ACPA]	A	maladroit;gauche	ungeschickt	bn:00099911a	0.87
Arntmonet [ACPA] ; Ärntmonnet [ACPA]	N	août	Erntemonat	bn:00007140n	0.82
Kopfbedäckung [ACPA]	N	couvre-chef;coiffure	Kopfbedeckungen;Kopfbedeckung	bn:00043306n	1.00
véllécht [WKT] ; villicht [ACPA]	ADV	peut-être	vielleicht	bn:00116211r	1.00
Beldscherm [ACPA] ; Bildschirm [ACPA]	N	écran	Bildschirm	bn:00055677n	0.82
Holzkohle [ACPA] ; Holzkohla [ACPA]	N	charbon de bois	Holzkohle	bn:00017777n	1.00
Bewis [ACPA]	N	démonstration;preuve	Beweis;Beweise	bn:00053828n	0.87
kritzige [ACPA] ; kriziga [ACPA]	V	crucifier	kreuzigen	bn:00086098v	1.00
Àtomkriag [ACPA] ; Àtomkreij [ACPA]	N	guerre atomique	Atomkrieg	bn:03051246n	1.00
Ungleck [ACPA] ; Unglueck [OLCA67;OLCA68]	N	malchance	Unglück	bn:00007884n	1.00
Flùsskrebs [OLCA67] ; Flusskrabs [ACPA;OLCA68]	N	écrevisse	Flußkrebse;Flusskrebse;Flußkrebs	bn:00023608n	0.89
Korik [OLCA67;OLCA68] ; Kork [ACPA]	N	liège	Kork	bn:00022661n	1.00
Mondschiin [OLCA67;OLCA68] ; Mondschin [ACPA]	N	clair de lune	Mondschein	bn:00055811n	0.82
Sàlàt [OLCA67;OLCA68;WKT] ; Sàlàd [ACPA]	N	salade	Salade;Salat	bn:00068899n	0.82
Helf [ACPA] ; Halfer [ACPA]	N	aide	Helfen;Hilfe	bn:00002155n	0.77
Glocka [ACPA] ; Glock [ACPA;WKT]	N	cloche	Glocke	bn:00009727n	1.00
Vertràg [ACPA] ; Vertràà [ACPA]	N	contrat	Vertrag	bn:02273261n	1.00
Schtumpf [ACPA] ; Stumpf [OLCA68]	N	souche	Stümpfen;Stumpf	bn:00074813n	0.87
Ufer [ACPA;OLCA67;OLCA68;WKT]	N	rive;berge	Ufer	bn:00008363n	0.87
Stàre [WKT] ; Schtàr [ACPA]	N	étourneaux;étourneau	Star;Stare	bn:00073988n	1.00
Schwäche [OLCA67;OLCA68] ; Schwächa [ACPA]	N	asthénie	Schwäche	bn:00080742n	0.82
Notte [WKT] ; Nott [WKT]	N	notes;note	Noten;Note	bn:00056463n	0.87
Nüll [ACPA] ; Nuller [ACPA]	N	zéro	Null	bn:00897134n	1.00
Zens [ACPA] ; Zinse [OLCA67;OLCA68]	N	intérêt;intérêts	Zinsen;Zins	bn:00047080n	1.00
Bàbbe [WKT] ; Bàbba [ACPA]	N	père	Papa	bn:01299280n	0.71
trürig [ACPA;WKT] ; trüri [WKT]	A	triste	traurig	bn:00110036a	1.00
Glee [WKT] ; Klee [ACPA;OLCA67;OLCA68]	N	trèfle	Klee	bn:00020028n	1.00
Booga [ACPA] ; Boje [ACPA]	N	arc	Bug;Bogen	bn:01625274n	1.00
Böb [ACPA]	N	garçon	Bub	bn:00012569n	0.58
Wättkàmpf [ACPA]	N	compétition;concours	Wettkampf	bn:00021338n	0.77
Wohrsàger [ACPA] ; Wohrsawer [ACPA]	N	devin	Wahrsager	bn:03270405n	1.00
Schüahschpànner [ACPA] ; Schöhschpànner [ACPA]	N	embauchoir	Schuhspanner	bn:01015369n	1.00
àbsischtlisch [ACPA]	ADV	exprès;délibérément	absichtlich	bn:00114152r	1.00
Zaichnung [ACPA] ; Zeischnung [ACPA]	N	dessin	Zeichnung	bn:00028639n	0.82
Nawafluss [ACPA] ; Näwafluss [ACPA]	N	affluent	Nebenflüsse;Nebenfluss;Nebenfluß	bn:00001787n	0.76
Reppa [ACPA] ; Rippe [OLCA67;OLCA68]	N	côte;côtes	Rippe;Rippen	bn:00023011n	0.89
nit [ACPA] ; niet [WKT]	N	rien	Nada	bn:03902848n	0.71
Làwendel [OLCA67;OLCA68] ; Làvandel [ACPA]	N	lavande	Lavandula;Lavendel	bn:00050241n	1.00
Dokümänt [ACPA] ; Dokümant [ACPA]	N	document	Dokument	bn:00028016n	1.00
Tiafa [ACPA] ; Tiefe [OLCA67;OLCA68]	N	profondeur	Tiefe	bn:00026418n	1.00
Kameradschaft [OLCA67;OLCA68] ; Kàmràdschàft [ACPA]	N	camaraderie	Kameradschaft	bn:00014965n	1.00
gnàui [ACPA] ; genàu [ACPA]	A	exact	genaue	bn:00102487a	1.00
Schletta [ACPA]	N	traîneau	Schlitten	bn:00072096n	1.00
Flaisch [ACPA] ; Fleisch [OLCA67;OLCA68;WKT]	N	viande	Fleisch	bn:00054026n	0.82
Äpfelbàuim [ACPA;OLCA68] ; Àpfelbaam [OLCA67]	N	pommier	Apfelbaum	bn:00005076n	1.00
Raagafàll [ACPA] ; Rajafàll [ACPA]	N	chute de pluie	Regenfälle;Regenfall	bn:00066032n	0.55
